CRN,Course Number,Title,Credits,Day/Time/Room,Instructor,Description,Prerequisites,Division Requirement
217,MUS 184 P,Applied Music: Viola da Gamba,1 p/f,TBD,Anne Legene,Private music lessons. Fees apply.,,Arts
218,MUS 185 P,Applied Music: Saxophone,1 p/f,TBD,John Myers,Private music lessons. Fees apply.,,Arts
219,MUS 187 P,Applied Music: Clarinet,1 p/f,TBD,staff,Private music lessons. Fees apply.,,Arts
220,MUS 188 P,Applied Music:Trumpet,1 p/f,TBD,Allan Dean,Private music lessons. Fees apply.,,Arts
221,MUS 189 P,Applied Music: Mandolin,1 p/f,TBD,staff,Private music lessons. Fees apply.,,Arts
222,MUS 190 PA,Applied Music: Piano,1 p/f,TBD,Manon Hutton-DeWys,Private music lessons. Fees apply.,,Arts
223,MUS 190 PB,Applied Music: Piano,1 p/f,TBD,Aaron Likness,Private music lessons. Fees apply.,,Arts
224,MUS 191 P,Applied Music: Voice,1 p/f,TBD,Gigi Teeley,Private music lessons. Fees apply.,,Arts
225,MUS 192 P,Applied Music: Flute,1 p/f,TBD,Sharon Powers,Private music lessons. Fees apply.,,Arts
226,MUS 193 P,Applied Music: Guitar,1 p/f,TBD,Julia Britell,Private music lessons. Fees apply.,,Arts
227,MUS 194 P,Applied Music:  Viola,1 p/f,TBD,Eric Martin,Private music lessons. Fees apply.,,Arts
228,MUS 195 P,Applied Music: Cello,1 p/f,TBD,Julian Muller,Private music lessons. Fees apply.,,Arts
229,MUS 196 P,Applied Music: Percussion,1 p/f,TBD,Thomas Parker,Private music lessons. Fees apply.,,Arts
230,MUS 197 P,Applied Music: Oboe,1 p/f,TBD,Judith Dansker-DePaolo,Private music lessons. Fees apply.,,Arts
231,MUS 198 P,Applied Music: Bass,1 p/f,TBD,Peter Toigo,Private music lessons. Fees apply.,,Arts
232,MUS 199 P,Applied Music: Violin,1 p/f,TBD,Jessica Belflower,Private music lessons. Fees apply.,,Arts
193,NATS 140EC M1,Volcanology and Geology on Montserrat (Montserrat study abroad students only),3,TBD,Michael Bergman,"In order to understand the active Soufriere Hills volcano on Montserrat, volcanism
                              in the Lesser Antilles, and volcanism in general, it is necessary to understand the
                              basics of plate tectonics. This course will involve a mix of class time and lab work
                              studying plate tectonics, volcanism, igneous rocks and minerals, and earthquakes,
                              which are often associated with volcanic activity; as well as field work sampling
                              and examining rocks from around the island that represent different volcanic episodes
                              over the past three million years.",No prerequisites.,"Science, Math, and Computing"
25,PHIL 105,W Philosophical Problems,3,MW 2:40-4:05 PM in CL3-12,Brian Conolly,"This course serves as an introduction to some of the main issues in western philosophy.
                              Emphasis is placed on analytical thinking, speaking, and writing.  Issues to be addressed
                              include: external-world skepticism, the existence of God, determinism and free will,
                              personal identity, the objectivity of morality, and the nature of science.",No prerequisites.,Social Studies
24,PHIL 175,W Ethics,3,TR 10:35-12:00 PM in CL3-10,Brian Conolly,"In this class, we will examine foundational questions in ethics. We will discuss the
                              objectivity of morality, the nature of well-being, and the rules that govern right
                              conduct. Is there an objective fact about right and wrong, or is morality relative
                              to persons or cultures? What is it to live a good life? What rules--if any--determine
                              what is right or wrong? How should we make moral decisions? Three applications of
                              ethical theory will help guide our discussion: our duties to the less fortunate, ethical
                              vegetarianism, and the value of the environment. Grades will be assigned on the basis
                              of papers, exams, and class participation.",No prerequisites.,Social Studies
21,PHIL 207,"WCP Daoism through Texts, Talks, and Taijiquan",3,MW 8:30-9:55 AM in DAC-108,Christopher Coggins,"Daoism has had a major impact on Chinese intellectual and spiritual life for over
                              two millennia. A philosophy that emphasizes individual development, immersion in nature,
                              the rejection of societal convention, and the cultivation of natural virtue, it has
                              been embraced by scholars, painters, poets, and political thinkers. A religion derived
                              from classical philosophy, folk practices, Buddhism, and Yogic techniques, it perseveres
                              in village rituals, global popular culture, and dissident sects like China's Falungong.
                              Taijiquan is a Daoist system of moving meditation and a martial art based on slowly
                              flowing and subtly configured motions. Practiced worldwide, it is ""the dance of Daoism,""
                              providing insight and personal experience of Daoist principles found in major texts
                              like the Dao De Jing, Zhuangzi, and Liezi. This course provides students with the
                              opportunity to read classical texts on Daoism and Taijiquan and to study the Thirteen
                              Postures, a Yang style form of Taijiquan. We also read Daoist nature poetry, Tang
                              dynasty Daoist short stories, and an account of the life of Guan Saihong, a Daoist
                              master (and if possible, we will have Guan visit the class). Our practice of Taijiquan
                              and work on textual interpretation is supplemented with free-ranging discussions (talks)
                              on Daoism in the spirit of the School of Pure Conversation, a Daoist group of the
                              first millennium that emphasized free expression and a sharpening of the imagination.",No prerequisites.,Social Studies
161,PHOT 101/201,Darkroom Photography I,3,TR 4:15-5:40 PM in DAC-025,Em Rooney,"This is a course is designed to give students an introduction to a photographic/artistic
                              practice, using a 35mm film camera, student experiences, and the darkroom as tools.
                              It will teach students how to measure light, using their camera ' s light meter (or
                              an external meter) and how to meter appropriately for ""correct"" exposures. The class
                              will focus on debunking the myths of what makes a ""good"" or a ""bad"" photograph, thinking
                              about presentness, error, spontaneity, and eventually planning, posing, and positioning
                              as tools to work with or against. The class is directed by four themes to assist in
                              the development of a photograph eye. By looking at photographic artists, news and
                              media images (as a means to situate contemporary
                              photography, as well as its methods and uses, in a broader historical context) students
                              in this class will not only practice photography, they will develop a critical and
                              intuitive relationship to images and image making. The primary goal of this course
                              is to encourage you to engage the medium of black and white photography in an active,
                              personal, and creative way. Students are strongly encouraged to provide their own
                              35mm manual film cameras. Prerequisite: Photography 102 is required to take this course
                              at the 200-level. This course has a lab and materials fee.",,Arts
61,PHOT 203,Digital Imaging,3,TR 2:40-4:05 PM in DAC-025,Daniel Karp,"This course reinforces the understanding of camera functions, exposure, and workflow
                              acquired in 100-level Photography classes. Students are invited to work at their desired
                              level (200, 300, or 400) and in their desired medium; scanning color film and making
                              digital prints, or using digital tools from start to finish. Film and digital students
                              will critique together to practice, share and discuss, the skills necessary to make
                              and evaluate their work with an acute attenuation to color, a bigger emphasis on print
                              quality, image sequencing, and content. We will always be asking: Why make photographs?
                              And for whom do we make them? The course will challenge students to concern themselves
                              with the contemporary causes and effects of ""the camera,"" and ask them how their work
                              engages with larger concepts--clarifying while moving beyond notions of ""the self.""
                              Photography itself is expanded in this class by including devices such as cell phones,
                              scanners, and video cameras. This course supports the development of creative working
                              methods by providing students with an understanding of digital capture, editing, and
                              output. Students will be expected to work independently on self-driven projects over
                              the course of the semester, in addition to reading, and discussing several texts pertaining
                              to pixel-based and traditional photographic art-forms. Prerequisite: Photography 102.
                              Studio fee.",,Arts
197,PHOT 205,Video Art,3,TR 1:05-2:30 PM in DAC-139,Em Rooney,"In this course students will practice and refine image making and image sequencing
                              skills through the use of various photographic, and time-based methods. Throughout
                              the semester they will produce groupings of images (moving and still) using their
                              choice of darkroom photography, scanned color negatives, digital photographs, and
                              video. Students will be introduced to color film photography that they can send away
                              for development, scan, and edit; digital photography along with basic Photoshop editing
                              tutorials, and video editing techniques via Adobe Premiere. However, the class will
                              operate less like a material survey and more like an experimental narrative class.
                              Through the study of 4 primary texts, and several shorter readings and screening students
                              will discuss and dissect the way metaphor, metonymy, and symbolism is created with
                              images, and their sequencing. The class will involve weekly assignments with close
                              readings, written responses, and monthly assignments that involve the production of
                              their own serial images. Students are strongly encouraged to provide their own 35mm
                              manual film cameras and/or DSLR digital cameras, although a smartphone will likely
                              suffice. This course has a materials fee. 
                              
                              For this particular season of the class, in the fall of 2020, there will be a focus
                              on memoir, as we live through and reflect on the Covid-19 pandemic. We will read texts
                              that function like memoirs, excerpts from actual memoirs (contemporary and ancient),
                              and we will watch and look at experimental memoirs that approach and contend with
                              the difficult stuff of life. Using language and images students in this class will
                              create memoirs (a collection of memories) in a non-linear fashion. We will activate
                              our approaches towards these reflective projects  with poetry, theory, photographic
                              projects and experimental video. Practicing memoir (as distinct from autobiography)
                              students will tell their own stories in expansive and unexpected ways.",,
7,PHYS 101,Physics II,4,MWF 2:40-3:35 PM in FSH-102,Sameer Hamadna,"This course continues the calculus-based physics sequence begun in Physics 100. Topics
                              include thermodynamics, electricity, magnetism, optics, special relativity, and wave
                              mechanics. Accompanying laboratory required. Prerequisite: Physics 100. Corequisite:
                              Mathematics 211.",,"Science, Math, and Computing"
8,PHYS 101L A,Physics II Lab,0,T 9:00-11:55 AM in FSH-113,Sameer Hamadna,Students enrolled in PHYS 101 must also register for a lab section.,,
9,PHYS 101L B,Physics II Lab,0,T 2:40-5:35 PM in FSH-113,Sameer Hamadna,Students enrolled in PHYS 101 must also register for a lab section.,,
69,PHYS 221,"Relativity, Cosmology, and Astrophysics",3,TR 1:05-2:30 PM in FSH-201,Eric Kramer,"This course introduces the concepts of special relativity, including time dilation,
                              length contraction, and the famous equivalence of matter and energy. These concepts
                              will be applied to understand earthbound and astrophysical phenomena. The course also
                              introduces Big Bang cosmology, and reviews the evidence for dark matter and dark energy.
                              Prerequisite: Physics 100.",,"Science, Math, and Computing"
68,PHYS 303,Classical Mechanics,4,MWF 11:10-12:05 PM in FSH-113,Eric Kramer,"Classical mechanics is a study of matter and energy in the limits that the quantization
                              of nature is not observable and the speed of light can be considered to be infinitely
                              fast. Topics include the harmonic oscillator, celestial mechanics, rigid body motion,
                              rotation, and the Lagrangian formulation of mechanics. Other possible topics include
                              fluids, statics, and nonlinear systems. Prerequisite: Physics 101 and MATH 220.",,"Science, Math, and Computing"
22,GEOG 213/313,WCP World Political Ecology: Introduction to Transdisciplinary Earth Studies,3/4,TR 9:00-10:25 AM in LIE-01,Christopher Coggins,"What is the human terrestrial condition? Political Ecology focuses on that question
                              by engaging with the political, economic, and cosmological dimensions of human-environment
                              relations through time. As an interdisciplinary and transdisciplinary field that draws
                              from geography, anthropology, sociology, political theory, and environmental studies,
                              it has roots in cultural ecology, critical theory, and Marxist political economy.
                              Practitioners of political ecology analyze the ways that power shapes, and is shaped
                              by, the definition and utilization of natural resources across multiple networks and
                              nodes in the modern world system. Since the 1990s, the field has drawn theoretical
                              perspectives from post-structuralism, postcolonial studies, feminist theory, critical
                              race theory, urban studies, queer theory, science and technology studies (STS), post-humanism,
                              Anthropocene studies, and the Rights of Nature (RON) movement. This course adopts
                              a world regional approach to the study of precolonial cultural ecologies and the effects
                              of colonialism, industrial capitalism, and command economies on contemporary humanenvironment
                              relations. Our focal point is the contested terrain where political, economic, and
                              cultural forces articulate with “nature,” local resource management, environmental
                              knowledge, ecological adaptation, and property regimes. Through the study of competing
                              environmental ontologies, epistemologies, and institutional practices, we search for
                              alternative visions of ""development,"" ""regional integration,"" ""urban-rural"" dichotomies,
                              ""core-periphery"" dynamics, ""stewardship,"" and ""sustainability.""",,Social Studies
2,POLS 210/310,Seminar in Global Politics,3/4,MW 8:30-9:55 AM in ONL-,Asma Abbas,"This course approaches global politics through some fundamental questions pertaining
                              to our everyday lives as citizens of this world, and the lenses used are multiple
                              and integrated into a rigorous grounding on questions of power, inequality, boundaries,
                              justice, war, immigration, terrorism, as well as other essential issues unspoken of
                              within the grand worries of our times. It is designed as a multi-perspectival introduction
                              to what might seem like questions we have always thought about, and what we already
                              have opinions on. The course pushes us to acknowledge the premises of our opinions,
                              our minds already made, and our pathos already bought and sold! In order to confront
                              current problems, the course maintains, we must step assess, improve, and build the
                              edifices and the scaffoldings of both our thought and action, local and global, in
                              the world today. An important element of this is a focus on the Global South as a
                              locus for the conversations that have always centred on the West and the Global North,
                              and this course will historicise those perspectives of geopolitics as well. There
                              are no prerequisites for the course taken at the 200 level.",,Social Studies
106,PSYC 100,Introduction to Psychology,3,MWF 10:05-11:00 AM in LEC-LC,Anne O'Dwyer,"Psychology is the study of human thought and behavior. The purpose of this course
                              will be to introduce students to this perspective on the human experience--its major
                              theories and ideas, history, and methods. We will also discuss the current issues
                              and debates within the field. As this is an introduction to a field that is quite
                              broad in its scope, we will cover many different topics. Thus, this course is fast-paced
                              with a lot of reading. Most of the readings are from a textbook, but these are supplemented
                              with chapters from a book that offers more in-depth discussions of particularly important
                              studies/concepts in the field. Classes will be part lecture, part discussion.",No prerequisites.,Social Studies
107,PSYC 229,Introduction to Cognitive Neuropsychology,3,MWF 9:00-9:55 AM in LEC-LC,Anne O'Dwyer,"The purpose of this course is to introduce students to the basic structure and function
                              of the human brain, particularly as it relates to cognition, learning, consciousness,
                              and emotion. Students will study the basic functioning of neurons as well as the organization
                              of the brain, with a focus on the areas in the brain involved in all aspects of cognition,
                              including: language, memory, social behavior, affect, spatial behavior, and attention.
                              In the latter part of the course, students will be introduced to the neurological
                              bases of psychological disorders (especially those of thought and emotion) as well
                              as our understanding of the brain’s plasticity and its ability to be repaired and
                              repair itself.",PSYC 100 or BIO 100.,Social Studies
26,PSYC 252,Abnormal Psychology,3,TR 9:00-10:25 AM in CL3-14,Jennifer Daniels,"This course provides an introduction to the etiology and treatment of psychological
                              disorders. Using a combination of the Diagnostic and Statistical Manual-V, the course
                              studies the most prevalent disorders, including anxiety disorders, affective disorders,
                              schizophrenia and other psychotic disorders, personality disorders, developmental
                              and neuro-cognitive disorders. It also explores critical issues of ethics and laws
                              in this complex field. Throughout the semester students will examine these disorders
                              through the lens of various models of psychopathology, including the psychoanalytic,
                              behavioral, cognitive, biological, and socio-cultural models. Students will explore
                              how these models are applied in therapy, as well as how their premises have been tested
                              through empirical research. Case material will be utilized to provide additional insight
                              into the experience of an individual with mental illness and the professionals who
                              work with them. Prerequisite: Psychology 100.",,Social Studies
28,PSYC 310,Principles of Clinical Psychology,4,M 9:00-11:55 AM in DAC-135,Jennifer Daniels,"This course is designed for students considering advanced study and careers in mental
                              health professions.  It provides an overview of the field of clinical psychology focusing
                              on issues relevant to the practice of psychology professions.  In particular, we will
                              use a variety of case studies involving a range of psychological diagnoses to examine
                              common challenges that arise for the therapist in the clinical setting.  Examples
                              of these challenges will relate to the increased use of technology, managed care and
                              insurance, the place of medication as well as issues such as the reluctant patient,
                              dealing with failures, treatment compliance, how patient's change therapists, and
                              counter-transference material.","PSYC 211 or PSYC 252 or permission
                              of the instructor.",Social Studies
27,PSYC 326,Psychology of Trauma,4,TR 10:35-12:00 PM in CL3-13,Jennifer Daniels,"This course explores the dynamics of interpersonal and community or societal-level
                              trauma – including domestic violence, sexual assault, childhood abuse, war and natural
                              disasters. The emphasis will be looking at how trauma impacts individuals on all levels,
                              reshaping the body and brain, social relationships, and relations to self, others,
                              and one’s communities. We will also explore various treatments from the traditional
                              to the innovative that are being used to address the consequences of interpersonal
                              trauma.","successful completion of one 200 level and one 300 level psychology
                              course or permission from the instructor.",Social Studies
249,ARTH 236/336,"CP Trans Aesthetics, Trans Critique: changing expressions of gender, sex and sexuality",3/4,MW 1:05-2:30 PM in DAC-025,Zoey Lubitz,"Trans people figure prominently in histories of the 20th century, making appearances
                              in bars, clinics, courtrooms, and entertainment media, however, the spectacle and
                              stakes of trans visibility in the US have never been more dramatized than in the media
                              and politics of today. This course analyzes art, music, literature, and film addressing
                              topics related to trans aesthetics and asks, what are the categories, judgments, and
                              strategies that define and are defined by trans people, trans cultural production,
                              and trans social practices? How do race, class, nationality, ability and other forms
                              of subjectification intersect or overdetermine these areas? This course cuts across
                              borders and times, both national and historical, as well as in the disciplines of
                              visual studies, media, history of science, art history, legal scholarship, and literature.","a 100-level art history course or suitable 100-level course in a humanities
                              discipline. To take the course at the 300-level, another 200-level theory or reading
                              heavy course in the humanities is required.",Arts
49,LIT 309,Queer Theory,4,TR 1:05-2:30 PM in LIE-02,Daniel Giraldo-Wonders,"Masculinity, Femininity, Gender, Performativity, Normativity, Power, Queer... How
                              can we make sense of a set of words whose meaning is constantly changing? How can
                              we understand a fluid term such as queer that functions as an umbrella for numerous
                              expressions of identity? What are the preconceptions that QT problematizes? What are
                              the foundational ideas that form QT? How did these ideas become part of the current
                              field of study? How can we assess the applicability of these ideas to western and
                              non-western societies? This course will undertake these doubts—and others—
                              through key texts produced before and after the birth of Queer Studies as an academic
                              discipline. This course will also approach these texts within their own historical
                              contexts, and encourage students to adopt a critical position to the texts based on
                              their own social and personal experiences.","At least one 200 level course
                              on Literature or Social Studies",Language and Literature
22,GEOG 213/313,WCP World Political Ecology: Introduction to Transdisciplinary Earth Studies,3/4,TR 9:00-10:25 AM in LIE-01,Christopher Coggins,"What is the human terrestrial condition? Political Ecology focuses on that question
                              by engaging with the political, economic, and cosmological dimensions of human-environment
                              relations through time. As an interdisciplinary and transdisciplinary field that draws
                              from geography, anthropology, sociology, political theory, and environmental studies,
                              it has roots in cultural ecology, critical theory, and Marxist political economy.
                              Practitioners of political ecology analyze the ways that power shapes, and is shaped
                              by, the definition and utilization of natural resources across multiple networks and
                              nodes in the modern world system. Since the 1990s, the field has drawn theoretical
                              perspectives from post-structuralism, postcolonial studies, feminist theory, critical
                              race theory, urban studies, queer theory, science and technology studies (STS), post-humanism,
                              Anthropocene studies, and the Rights of Nature (RON) movement. This course adopts
                              a world regional approach to the study of precolonial cultural ecologies and the effects
                              of colonialism, industrial capitalism, and command economies on contemporary humanenvironment
                              relations. Our focal point is the contested terrain where political, economic, and
                              cultural forces articulate with “nature,” local resource management, environmental
                              knowledge, ecological adaptation, and property regimes. Through the study of competing
                              environmental ontologies, epistemologies, and institutional practices, we search for
                              alternative visions of ""development,"" ""regional integration,"" ""urban-rural"" dichotomies,
                              ""core-periphery"" dynamics, ""stewardship,"" and ""sustainability.""",,Social Studies
248,SOCS 246,"Global Climate Restoration Through Anthropology, Psychology, & Human Rights",3,MW 2:40-4:05 PM in CL1-03,Felix Kaputu,"Global Climate Restoration Through Anthropology, Psychology, and Human Rights: Protocols
                              for a Sustainable Future is a dynamic, interdisciplinary course for students eager
                              to tackle climate change through innovative frameworks. The course explores the complex
                              intersection of human behavior, cultural practices, and global protocols by merging
                              anthropology, psychology, and human rights perspectives. Through a blend of theoretical
                              study and practical activities, students will analyze the root causes of environmental
                              degradation and develop actionable strategies for sustainability. This course equips
                              participants with the tools to drive climate restoration, advocate for environmental
                              justice, and contribute meaningfully to international climate solutions. Ideal for
                              those committed to reshaping our planet's future.","First Year Seminar
                              I and/or First Year Seminar II.",Social Studies
181,SOCS 310M 1,Research Methods - Part II,2,T 2:40-5:35 PM in CL1-02,Anne O'Dwyer,no course description available,,Social Studies
237,SART 103,Drawing From Observation,3,TR 2:40-4:05 PM in DAC-024,Jacob Fossum,"This class is founded on the idea that drawing is a ""global"" skill not unlike driving
                              or reading that can be learned by accessing the hemisphere of your brain where our
                              non-verbal and intuitive skills are developed. This idea is based on two organizing
                              principles and major aims: to teach the student five basic component skills of drawing
                              and to provide the student with conditions that facilitate making cognitive shifts
                              to the thinking/seeing mode of your brain for drawing. We will learn to perceive edges,
                              spaces, relationships, lights and shadows and the gestalt or whole. This is an essential
                              course for anyone wishing to learn how to draw, paint and perceive color more accurately.
                              It is also a prerequisite for Drawing Studio.",,Arts
78,SART 106,Introduction to Ceramics,3,MW 1:05-2:30 PM in DAC-072,Ben Krupka,"Students in this course will learn the fundamentals of clay forming techniques as
                              they produce bowls, mugs, vases, and lidded jars among other forms. The class will
                              learn both hand building and wheel throwing skills. A variety of glazing methods will
                              be introduced. Structural integrity, function, and aesthetic issues will be considered
                              equally. The class will be introduced to historical and contemporary trends and innovations
                              in ceramics. Students will keep a sketchbook and participate in a field trip.",No prerequisites.,Arts
79,SART 207,Intermediate Wheel Throwing,3,TR 1:05-2:30 PM in DAC-072,Ben Krupka,"This course will focus on advanced wheel throwing techniques and build upon the skills
                              learned in Introduction to Ceramics. Emphasis will be on utility and aesthetics, while
                              working in a series that encourages intense investigation into what makes for a visually
                              interesting and well crafted functional pot. Students will learn to make their own
                              clays and glazes, as well as learn to fire their own work in
                              electric, gas, wood kilns. Drinking vessels, bowls, plates, vases, pitchers, jars,
                              teapots, and serving pieces will be explored. Through slides, lectures and films,
                              students will be exposed to a broader range of contemporary and historical ceramic
                              art. The class will maintain a blog and students will learn to photograph their work,
                              write about it, and post blog entries. Prerequisite: Studio Art 106.",,Arts
118,SART 218,Graphic Design:Web/ePub,3,MW 10:05-11:30 AM in DAC-139,Monk Schane-Lydon,"This course is an introduction to the underlying principles of graphic design and
                              the digital tools available to translate an artist's vision into a physical or digital
                              product. Students will use the Adobe Creative Suite, as well as shareware software
                              to create posters, logos and letterhead, and eventually a comprehensive website that
                              will showcase projects from the semester. The purpose of this class is to achieve
                              a proficiency in a set of imaging tools and to understand computer-aided graphic imaging.
                              At the same time, students will engage in a discussion about design and how it relates
                              to psychology and perception. Students will practice arranging text and images on
                              a page in a clear and effective manner. Each student will create an 'identity' or
                              a fictional endeavor that will frame your work throughout the semester. Prerequisite:
                              To enroll in this course at the 300-level, students must have already completed the
                              100- and 200-levels of the Graphic Design course.",,Arts
41,SART 234/334/434,Painting and Drawing Studio,3/4,TR 10:35-12:00 PM in DAC-124,Jacob Fossum,"This course is designed for any student who has taken either SART 103 or SART 113
                              and who have a desire to further their studio practice within a community of their
                              peers. The course will focus on establishing a personal studio practice through the
                              communal exploration of contemporary themes as it relates to the inception and creation
                              of two-dimensional art. Students will also be expected to practice process journaling
                              within their sketchbooks through drawing and writing and to participate in group critiques
                              at the completion of each project. There will be one required field trip to NYC to
                              visit artist's studios.","SART 103, SART 113, or permission of the instructor.",Arts
31,SART 240,Screenprinting,3,MW 6:05-7:30 PM in DAC-029,Chris Domenick,"This is an introduction to the art of screen printing on both fabric and paper.  Students
                              will learn how to work with a variety of stencils and how to coat and expose screens
                              in the darkroom.  Students will learn how to register multiple layers, and to manipulate
                              the layering of colors through transparency, viscosity, and brilliance.  This class
                              will focus on learning the craft of screen printing but will be subsidized with critiques
                              of student work.  We will explore the importance of this technique in the textile
                              and design industries (fabric to posters to paintings), as well as the significant
                              impact the craft has had on conceptual art practices.  Students will be challenged
                              by open-ended prompts with a focus on artistic exploration.  It is appropriate for
                              all levels.",,Arts
29,SART 329M 1,Artist's Books,2,MW 2:40-4:05 PM in DAC-029,Chris Domenick,"The design and structure of the book form is studied through work with drawing, painting,
                              printmaking, photography, computer graphics, or with a combination of media. Initial
                              projects deal with the interaction between words and images and culminate in the production
                              of simple books. Later in the semester, each student plans and produces a complete
                              book or a series of books. Basic forms of bookbinding and other presentation possibilities
                              are explored. The conception of the book is left up to the individual and may range
                              from a traditional approach to a highly experimental form. In all cases, the book
                              is explored as a unique form of creative expression and visual communication. Lectures,
                              presentations, and critiques supplement studio work. Studio fee. Prerequisite: At
                              least one 200-level studio course.",,Arts
80,SART 367/467,Advanced Ceramic Studio,4,TR 1:05-2:30 PM in DAC-072,Ben Krupka,"This course is for those who want to expand on the hand building, wheel throwing,
                              and glazing skills developed in Studio Art 106. Students may choose whether to throw,
                              hand build, or combine techniques in order to fulfill assignments. Advanced glazing
                              techniques will be explored. Kiln loading and firing methods as well as mold making
                              will be introduced. We will view and discuss slides of historical and contemporary
                              ceramics throughout the course. The class will involve keeping a sketchbook, a field
                              trip, and a group show of work. Prerequisite: 207 and 208, or permission of the instructor.",,Arts
63,THEA 100M 1,Improvisation and Play,2,TR 2:40-4:05 PM in DAC-002,Sara Katzoff,"Using a variety of theater games and experiential prompts, this seven-week introductory
                              course invites participants to leap into the unknown and discover their sense of playfulness
                              and spontaneity in a brave and welcoming space. Working in pairs and small groups,
                              students will cultivate vital skills of collaboration, flexibility, and self-expression.
                              Through the creation and analysis of short form improvised performance, students will
                              also stretch their imaginations and invent entirely original characters, scenarios,
                              worlds, and stories.",,Arts
130,THEA 108,Costume Design & Execution,3,TR 1:05-2:30 PM in DAC-018,George Veale,"This is a hands-on course where students will learn the process and general skills
                              needed for theatrical  costume execution from inception to finished product. Strong
                              emphasis will be placed on planning effectively in order to produce real costumes
                              for a given play, as envisioned by a director, within a budget and a prescribed period
                              of time. Along with methods of effective research and planning, students will be exposed
                              to the skills needed to find, purchase, adapt, and/or construct costumes and props.
                              Students will learn hand sewing, machine sewing, needle felting, beading, sequining,
                              mending, how to attach buttons, waxing canvas, molding leather, and beginning leather
                              craft.",,Arts
93,THEA 117,Acting 1: Viewpoints,3,MW 1:05-2:30 PM in DAC-002,Aimee Michel,"Acting requires fully embodied presence in performance.  It also requires full awareness
                              of everything that happens onstage during performance.  The Viewpoints are tools which
                              allow the actor to become an active collaborator in the artistic process, empowering
                              him/her to open his/her awareness during performance to the innumerable possibilities
                              of each moment. Through a series of group and individual exercises actors will learn
                              this technique and apply it to text. No prerequisite. This course is a prerequisite
                              for most upper level theater courses.",,Arts
191,THEA 127M 1,Programming for Theater,2,TR 10:35-12:00 PM in DAC-001,Jean Volff,"The field of modern performance is saturated with technology. As such, creative and
                              effective programming has become essential to the successful development of and implementation
                              of many modern technical designs. This course will provide students a comprehensive
                              overview of the programs and techniques required to program lights, sound, and projections
                              for modern theater. Topics covered will include patching, cueing, and control of both
                              traditional and intelligent lighting fixtures. After taking this course, successful
                              students will be well equipped to implement a variety of theatrical designs during
                              the technical process. Through in class projects, students will have the opportunity
                              to learn first hand the creative strategies involved in programming and to engage
                              with the challenges of this process with their peers.",,Arts
64,THEA 206/306/406,Theater Production,4,M 4:15-7:10 PM and TR 6:05-9:00 PM in DAC-002,Sara Katzoff,"Students of different experience and abilities learn about all aspects of theater
                              by participating in the College’s production as actors, musicians, composers, writers,
                              assistant designers, dramaturgs and stage managers.  Prerequisite Thea 117 and / or
                              audition AS WELL AS PERMISSION OF INSTRUCTOR.",,Arts
33,THEA 207/307/407,Theater Production: Tech,4,F 1:05-4:00 PM in DAC-002,Leo Earl,"Students interested in working backstage and behind the scenes, will gain hands-on
                              experience and training in various disciplines associated with technical production.
                              Specific areas of focus may include costume, set and prop construction, stage crew,
                              lighting and electrics crew, sound mixing and engineering, light and sound board programming
                              and operations, projections, assistant stage management and assisting faculty and
                              staff designers in the areas of costume, scenic and lighting design. Each student
                              involved will be interviewed and assigned a specific role (or roles) integral to the
                              unique collaborative process of bringing a full length production from inception to
                              performance.","For 200-level: one of the following courses: THEA 108,
                              THEA 115, THEA 118, THEA 125, THEA 127, THEA 151, and permission of the instructor.
                              For the 300-level, THEA 207.",Arts
131,THEA 208,Costume Design & Execution,3,TR 2:40-4:05 PM in DAC-018,George Veale,"This is a hands-on course where students will learn the process and general skills
                              needed for theatrical  costume execution from inception to finished product. Strong
                              emphasis will be placed on planning effectively in order to produce real costumes
                              for a given play, as envisioned by a director, within a budget and a prescribed period
                              of time. Along with methods of effective research and planning, students will be exposed
                              to the skills needed to find, purchase, adapt, and/or construct costumes and props.
                              Students will learn hand sewing, machine sewing, needle felting, beading, sequining,
                              mending, how to attach buttons, waxing canvas, molding leather, and beginning leather
                              craft.",,Arts
94,THEA 227/427,Playwrighting (OSUN),3/4,TR 10:35-12:00 PM in ONL-,Aimee Michel,"In this course we will read plays as well as working on our own playwriting.  As we
                              read drama from around the world we will study how other dramatists have constructed
                              their plays and solved problems that present themselves to the playwright. We will
                              discuss these plays each week.  Each week, students will also write scenes in response
                              to writing prompts and share them with the class. We will then respond as a group
                              to the writer with constructive feedback. Through this practice, inspired by the plays
                              we are reading together and each others' courage, students will begin to hone their
                              authentic dramatic voices and write their own truths.  At the end of the course, students
                              will be required to revise at least three of their scenes based on the feedback from
                              the class.  These revisions will be submitted with the final portfolio. Prerequisite:
                              A writing class (it does not have to be dramatic writing) and permission of the instructor.",,Arts
126,CHIN 101,Chinese Language & Context II,4,TR 9:00-10:25 AM and M 8:30-9:55 AM in CL3-09,Xin Tong,"This is the second semester of an accelerated course designed for students with
                              little or no previous language background of Chinese. It provides a systematic and
                              efficient study of Chinese grammar, vocabulary, oral/aural skills, and reading and
                              writing Chinese characters. The goal of the course is to enable the students to function
                              successfully in most of the basic communicative situations with a native Chinese.
                              Students are also exposed at the same time to Chinese cultural traditions through
                              such activities as viewing Chinese movies, listening to Chinese music, and tasting
                              Chinese cuisine. The class meets four times per week.",CHIN100.,Language and Literature
